0,0,0,NUL,null,,,
1,1,1,SOH,start of header,,,
2,2,10,STX,start of text,,,
3,3,11,ETX,end of text,,,
4,4,100,EOT,end of transmission,,,
5,5,101,ENQ,enquiry,,,
6,6,110,ACK,acknowledge,,,
7,7,111,BEL,bell,,,
8,8,1000,BS,backspace,,,
9,9,1001,HT,horizontal tab,,,
10,0A,1010,LF,line feed,,,
11,0B,1011,VT,vertical tab,,,
12,0C,1100,FF,form feed,,,
13,0D,1101,CR,enter,carriage return,return,
14,0E,1110,SO,shift out,,,
15,0F,1111,SI,shift in,,,
16,10,10000,DLE,data link escape,,,
17,11,10001,DC1,device control 1,,,
18,12,10010,DC2,device control 2,,,
19,13,10011,DC3,device control 3,,,
20,14,10100,DC4,device control 4,,,
21,15,10101,NAK,negative acknowledge,,,
22,16,10110,SYN,synchronize,,,
23,17,10111,ETB,end of transmission block,end of block,,
24,18,11000,CAN,cancel,,,
25,19,11001,EM,end of medium,,,
26,1A,11010,SUB,substitute,,,
27,1B,11011,ESC,escape,,,
28,1C,11100,FS,file separator,,,
29,1D,11101,GS,group separator,,,
30,1E,11110,RS,record separator,,,
31,1F,11111,US,unit separator,,,
,,,,,,,
32,20,100000,Space,space,,,
33,21,100001,!,exclamation,exclamation mark,exclamation point,
34,22,100010,"""",double quote,quote,,
35,23,100011,#,number,,,
36,24,100100,$,dollar,,,
37,25,100101,%,percent,,,
38,26,100110,&,ampersand,,,
39,27,100111,',single quote,,,
40,28,101000,(,left parenthesis,left brace,,
41,29,101001,),right parenthesis,right brace,,
42,2A,101010,*,asterisk,as rick,as struck,struck
43,2B,101011,+,plus,,,
44,2C,101100,",",comma,,,
45,2D,101101,-,minus,,,
46,2E,101110,.,period,,,
47,2F,101111,/,slash,,,
48,30,110000,0,zero,,,
49,31,110001,1,one,,,
50,32,110010,2,two,,,
51,33,110011,3,three,,,
52,34,110100,4,four,,,
53,35,110101,5,five,,,
54,36,110110,6,six,,,
55,37,110111,7,seven,,,
56,38,111000,8,eight,,,
57,39,111001,9,nine,,,
58,3A,111010,:,colon,,,
59,3B,111011,;,semicolon,,,
60,3C,111100,<,less than,,,
61,3D,111101,=,equality sign,equals,,
62,3E,111110,>,greater than,,,
63,3F,111111,?,question mark,question,,
64,40,1000000,@,at sign,at,,
65,41,1000001,a,upper case A,,,
66,42,1000010,B,upper case B,,,
67,43,1000011,C,upper case C,,,
68,44,1000100,D,upper case D,,,
69,45,1000101,E,upper case E,,,
70,46,1000110,F,upper case F,,,
71,47,1000111,G,upper case G,,,
72,48,1001000,H,upper case H,,,
73,49,1001001,I,upper case I,,,
74,4A,1001010,J,upper case J,,,
75,4B,1001011,K,upper case K,,,
76,4C,1001100,L,upper case L,,,
77,4D,1001101,M,upper case M,,,
78,4E,1001110,N,upper case N,,,
79,4F,1001111,O,upper case O,,,
80,50,1010000,P,upper case P,,,
81,51,1010001,Q,upper case Q,,,
82,52,1010010,R,upper case R,,,
83,53,1010011,S,upper case S,,,
84,54,1010100,T,upper case T,,,
85,55,1010101,U,upper case U,,,
86,56,1010110,V,upper case V,,,
87,57,1010111,W,upper case W,,,
88,58,1011000,X,upper case X,,,
89,59,1011001,Y,upper case Y,,,
90,5A,1011010,Z,upper case Z,,,
91,5B,1011011,[,left square bracket,left square brace,,
92,5C,1011100,\,backslash,,,
93,5D,1011101,],right square bracket,right square brace,,
94,5E,1011110,^,caret,circumflex,circumflex,carrot
95,5F,1011111,_,underscore,,,
96,60,1100000,`,grave,accent,,
97,61,1100001,a, ,,,
98,62,1100010,b, ,,,
99,63,1100011,c, ,,,
100,64,1100100,d, ,,,
101,65,1100101,e, ,,,
102,66,1100110,f, ,,,
103,67,1100111,g, ,,,
104,68,1101000,h, ,,,
105,69,1101001,i, ,,,
106,6A,1101010,j, ,,,
107,6B,1101011,k, ,,,
108,6C,1101100,l, ,,,
109,6D,1101101,m, ,,,
110,6E,1101110,n, ,,,
111,6F,1101111,o, ,,,
112,70,1110000,p, ,,,
113,71,1110001,q, ,,,
114,72,1110010,r, ,,,
115,73,1110011,s, ,,,
116,74,1110100,t, ,,,
117,75,1110101,u, ,,,
118,76,1110110,v, ,,,
119,77,1110111,w, ,,,
120,78,1111000,x, ,,,
121,79,1111001,y, ,,,
122,7A,1111010,z, ,,,
123,7B,1111011,{,left curly bracket,left curly brace,,
124,7C,1111100,|,vertical bar,bar,pipe,
125,7D,1111101,},right curly bracket,right curly brace,,
126,7E,1111110,~,tilde,,,
127,7F,1111111,DEL,delete,,,
,,,,,,,
,,,,,,,
,,,,,,,
162,A2,10100010,¢,cent,,,
163,A3,10100011,£,pound,,,
,,,,,,,
165,A5,10100101,¥,yen,yuan,,
,,,,,,,
,,,,,,,
,,,, ,,,
169,A9,10101001,©,copyright,,,
,,,,,,,
,,,, ,,,
,,,,,,,
,,,,,,,
174,AE,10101110,®,registered trademark,trademark,,
,,,, ,,,
176,B0,10110000,°,degree,degrees,celsius,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
215,D7,11010111,×,multiplication sign,multiply,multiply by,times
,,,,,,,
247,F7,11110111,÷,obelus,divide,divide by,
